ID,Answer
0,白色羽毛
1,《臺灣府志
2,袁晁
3,天津武備學堂
4,
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,醜化對手的作用
10,二十世紀福斯向周星馳買下《食神》版權，欲邀其重拍美國版《食神》，但最終被周星馳拒絕。2001年，周星馳
11,三中老
12,無障礙環境
13,anticipation，即預測
14,2004年
15,硫化氫
16,華萊士
17,
18,亞非
19,80公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1910年代
25,外交手段
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,文化大革命
31,《羅馬十二帝王傳》
32,灣仔
33,西沙群島
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,77份
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1930年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕後，改變了九龍灣作為工廠、物流倉庫的印象。[UNK]商場高18層，佔地達110萬平方呎，是觀塘區最大型的購物商場，當中的大型商戶有宜家傢俬、[UNK]、[UNK]影院等。區內的寫字樓自2006年起不斷增建，包括企業廣場三期、國際交易中心、[UNK][UNK]、傲騰廣場及億京中心等，成為東九龍新商業中心
50,
51,自強學堂
52,1960年代
53,法西斯義大利希望向南斯拉夫擴張領土
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國共產黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,李宗仁
67,宋代
68,前三點起落架
69,二十二歲
70,亞洲
71,1996年
72,美國
73,氦
74,經過依納爵長久的薰陶
75,住宅地
76,大韓生命保險公司大樓
77,八角鼓
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1959年
82,知覺
83,科龍港
84,玫瑰盃[UNK]
85,科學知識及技術
86,
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,農業合作社
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1763年
103,有絲分裂和無絲分裂
104,美國
105,羅馬帝國
106,朝鮮仁祖
107,十個
108,佛學論書
109,臺中高農
110,布倫瑞克
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,
117,指揮
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會的決定和全國人民代表大會常務委員會
122,德國
123,雷家驥
124,8歲的陽原王登基
125,複雜及未標準化
126,二千九百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難。為迅速取得西線勝利
129,林家
130,商營鐵路，但由於它是用來運貨
131,公民權
132,西人黨
133,2015年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,20
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,吳有性
147,《布告各省公啟》
148,阿拉里克
149,十月革命
150,潛在腔隙
